label,nodes,edges,density,mean_degree,max_degree,degree_var,diameter,char_path,efficiency,avg_clustering,transitivity,n_triangles,mean_betweenness,max_betweenness,betweenness_centralization,lambda_1,lambda_2,spectral_gap,spectral_radius,assortativity,sigma,omega,modularity_Q,n_communities,rich_club_k1,rich_club_k2,rich_club_k5
brain_20,69,426,0.1815856777493606,12.347826086956522,37,26.13988657844991,4,2.213981244671782,0.5292696788860473,0.4171208033061112,0.38964435146443516,745,0.018119123054802712,0.43885760339817864,0.012744054057805178,14.628712096759042,12.536938383554533,2.0917737132045087,14.628712096759042,-0.05287875597414477,1.9380852870706509,0.2488312161188202,0.44796006083449047,2,0.1865671641791045,0.19131614654002713,0.2073732718894009
brain_21,69,380,0.16197783461210571,11.014492753623188,32,21.521529090527203,4,2.312872975277067,0.508383063370273,0.3692314933031892,0.34894459102902375,529,0.019595119033986082,0.39619667000900227,0.011407158479923052,13.018597224248294,11.364734413627096,1.6538628106211988,13.018597224248294,-0.027896064858656235,1.9182908320961312,0.314616023853197,0.4508067867036012,3,0.16197783461210571,0.16593503072870938,0.2022209234365868
brain_22,69,410,0.17476555839727195,11.884057971014492,38,27.493803822726317,4,2.2838874680306906,0.5176541631145216,0.3820793367535863,0.3997412677878396,721,0.019162499522846127,0.5019966822573212,0.014624915982732288,14.297239202720728,12.497453136203502,1.7997860665172265,14.297239202720728,-0.006423442006380405,1.818867676213082,0.2836819223694693,0.4484503271861986,3,0.17954345917471468,0.1888111888111888,0.22209234365867914
brain_23,69,397,0.16922421142369992,11.507246376811594,38,29.351396765385424,5,2.2885763000852517,0.5159278204035223,0.43992230049572895,0.37962962962962965,656,0.019232482090824655,0.43618971736836515,0.012629521173897132,14.070881729778183,11.893587872606814,2.177293857171369,14.070881729778183,-0.05508127529017561,2.195706731881265,0.2064662284726576,0.4513384387947389,3,0.17383669885864794,0.1875,0.211864406779661
brain_24,69,383,0.16325660699062233,11.101449275362318,33,24.612896450325557,4,2.388320545609548,0.5004262574595031,0.38891897744199533,0.3751589656634167,590,0.020721202173276842,0.5591834049078537,0.016309873568336037,13.647835320832794,11.530095757806903,2.117739563025891,13.647835320832794,-0.08655127497954954,1.937692885686252,0.256089158505979,0.4630374465706357,3,0.16769095697980685,0.17622377622377622,0.21052631578947367
brain_25,69,392,0.16709292412617222,11.36231884057971,36,23.999159840369675,5,2.3192668371696503,0.5103154305200331,0.40855172880344504,0.3717791411042945,606,0.01969054980850225,0.4811887134292167,0.013978653770770552,13.505003193333888,11.853002092261985,1.6520011010719031,13.505003193333888,-0.04585583104864342,2.0328527969297356,0.24491871541714172,0.46093099229487716,3,0.17164179104477612,0.18509615384615385,0.20437158469945355
brain_26,69,382,0.1628303495311168,11.072463768115941,46,33.806343205209,4,2.152173913043478,0.5311523159988663,0.4022421639790704,0.35061826884722774,586,0.017196625567813113,0.5115562101514025,0.01497401726788968,13.821542503212397,11.180251698613539,2.6412908045988583,13.821542503212397,-0.09774451280347346,2.230110135027066,0.32820683844368936,0.4342500205586469,3,0.1672519754170325,0.17141564902758932,0.20514319111630624
brain_27,69,383,0.16325660699062233,11.101449275362318,32,19.656374711195127,4,2.291986359761296,0.5111892583120192,0.370461756032742,0.348361557070596,528,0.01928337850389994,0.39085576256706117,0.011254826382944193,13.183595207129784,11.0013568730823,2.1822383340474847,13.183595207129784,-0.02265432890753186,1.9233121560259825,0.3178984195879092,0.454239922557247,3,0.16325660699062233,0.16325660699062233,0.18381976446492576
brain_28,69,358,0.1526001705029838,10.376811594202898,37,26.437723167401806,5,2.3367433930093777,0.5026641091219071,0.3670996985574991,0.3499648629655657,498,0.019951393925513098,0.5186143535744853,0.015104365327376636,12.813410066084522,11.119432313216837,1.693977752867685,12.813410066084522,-0.08517922786065442,2.064931201991945,0.31456387792077445,0.45677023189039045,3,0.15671641791044777,0.16456876456876457,0.20300751879699247
brain_29,69,377,0.1606990622335891,10.927536231884059,33,24.936777987817685,6,2.400682011935209,0.4981173628871814,0.39168061265247966,0.37736258961546815,579,0.020905701670674758,0.42663912390899295,0.012289554931708368,13.43371546309509,11.495206639250908,1.9385088238441828,13.43371546309509,0.026201400121745197,1.9858221237758322,0.2529143628066659,0.45783408030732653,2,0.1606990622335891,0.17296037296037295,0.21052631578947367
brain_30,69,382,0.1628303495311168,11.072463768115941,39,26.55996639361479,4,2.213128729752771,0.521526001705028,0.3859916022118203,0.35579345088161207,565,0.018106398951533893,0.44250677816113343,0.012854971977809269,13.35646988571477,11.290192615091076,2.0662772706236936,13.35646988571477,-0.07952700879461883,2.081072747439124,0.3267526351946203,0.442905210931718,4,0.1628303495311168,0.17096336499321574,0.2075015124016939
brain_31,69,390,0.16624040920716113,11.304347826086957,25,22.356647763074978,5,2.4104859335038364,0.4970588235294092,0.4013842760740055,0.4002087682672234,639,0.021052028858266212,0.35838304569151674,0.01021766468897457,13.446496940167265,12.382874089807862,1.063622850359403,13.446496940167265,0.046897835333285724,1.9351497640745885,0.22499006441064506,0.4690302432610125,3,0.1707638279192274,0.17503392130257803,0.20451977401129945
brain_32,69,380,0.16197783461210571,11.014492753623188,34,26.767905902121402,4,2.312020460358056,0.5086672350099436,0.3826666692664808,0.37048001691689575,584,0.019582394930717253,0.44976213637326745,0.01303002728688452,13.440801019481754,11.641694351187425,1.7991066682943284,13.440801019481754,-0.08134605426184112,1.9888244909000827,0.295226790680548,0.45263504155124656,3,0.16637401229148377,0.17482517482517482,0.21553884711779447
brain_33,69,431,0.1837169650468883,12.492753623188406,41,31.72820835958832,4,2.160699062233589,0.5365515771526012,0.4662705615272024,0.41418650793650796,835,0.01732386660050133,0.4660228501248092,0.013590970089185098,14.867804805638318,13.092543548768221,1.7752612568700972,14.867804805638318,-0.11918102968835609,2.1889192318368815,0.19461352692325162,0.4643601186470787,3,0.1837169650468883,0.18832309043020193,0.23027469316189364
brain_34,69,388,0.16538789428815004,11.246376811594203,41,26.185675278302877,4,2.2186700767263425,0.5230179028132976,0.380215363338769,0.3400286944045911,553,0.018189105622781237,0.4932530485719445,0.01438955753445034,13.427938291286694,11.275547327101053,2.1523909641856402,13.427938291286694,-0.0780892794556577,2.0079033365306285,0.328325824451842,0.4476033584865554,2,0.16538789428815004,0.1694468832309043,0.19726775956284154
brain_35,69,406,0.17306052855924978,11.768115942028986,36,25.74333123293426,5,2.284313725490196,0.5167732310315426,0.38698249497818754,0.38098859315589356,668,0.01916886157448054,0.43379056432655344,0.012558778529359294,13.942183361827391,12.328357727293568,1.613825634533823,13.942183361827391,-0.051754375403829773,1.8695872026916234,0.27877760536246365,0.4533202698439661,3,0.17306052855924978,0.18181818181818182,0.20928961748633879
