candidate,target,null,d_inv,d_portrait
TOL_11,BRAIN_10,CFG,0.23778951382798558,0.20998525902279863
TOL_11,BRAIN_10,CFG,0.39043726121762345,0.42558834990270467
TOL_11,BRAIN_10,CFG,0.3306627926351915,0.27370628683965803
TOL_11,BRAIN_10,CFG,0.2563571777619587,0.33406470988792425
TOL_11,BRAIN_10,CFG,0.36423889764907513,0.36301141942762194
TOL_11,BRAIN_10,CFG,0.3194872400220626,0.3213205297388875
TOL_11,BRAIN_10,CFG,0.32387154834548254,0.4971556702641477
TOL_11,BRAIN_10,CFG,0.2867455703486912,0.3241373132223401
TOL_11,BRAIN_10,CFG,0.2965349865223362,0.48828609342816176
TOL_11,BRAIN_10,CFG,0.232135632528714,0.3534028874981464
TOL_11,BRAIN_10,CFG,0.31148677572694794,0.332259744689234
TOL_11,BRAIN_10,CFG,0.3190627461223211,0.37699461580923843
TOL_11,BRAIN_10,CFG,0.3236859394960271,0.445727417036788
TOL_11,BRAIN_10,CFG,0.34204130202564903,0.30087939292549426
TOL_11,BRAIN_10,CFG,0.2230653583277766,0.333416000458591
TOL_11,BRAIN_10,CFG,0.23444603203652714,0.23206202002588397
TOL_11,BRAIN_10,CFG,0.27830281306677346,0.3824516585605394
TOL_11,BRAIN_10,CFG,0.24697222611314948,0.3057138658259658
TOL_11,BRAIN_10,CFG,0.30719735765831846,0.3053595197992349
TOL_11,BRAIN_10,CFG,0.3408730135626446,0.437910139443838
TOL_11,BRAIN_10,CFG,0.36801996434926876,0.43019392321671013
TOL_11,BRAIN_10,CFG,0.2860758681826833,0.37077981665352705
TOL_11,BRAIN_10,CFG,0.47333252376859714,0.46043453389924305
TOL_11,BRAIN_10,CFG,0.34287757315253353,0.31633389904021497
TOL_11,BRAIN_10,CFG,0.4383402944751134,0.3476663007108755
TOL_11,BRAIN_10,CFG,0.32095249254508346,0.36853911261420613
TOL_11,BRAIN_10,CFG,0.40627777906466833,0.2701193843950719
TOL_11,BRAIN_10,CFG,0.3197150172637644,0.3329092800782766
TOL_11,BRAIN_10,CFG,0.37135095621944997,0.3558389292947816
TOL_11,BRAIN_10,CFG,0.31266297390268233,0.2997351385280686
TOL_11,BRAIN_10,CFG,0.3770969737184614,0.34026371104332753
TOL_11,BRAIN_10,CFG,0.13316324788496353,0.20807289709626214
TOL_11,BRAIN_10,CFG,0.3433963544850576,0.3626393121556857
TOL_11,BRAIN_10,CFG,0.35704484568342765,0.47358011361722624
TOL_11,BRAIN_10,CFG,0.3493170233754676,0.3376822483519253
TOL_11,BRAIN_10,CFG,0.2663290939561944,0.2510583340382745
TOL_11,BRAIN_10,CFG,0.2611598922192615,0.24108080446365937
TOL_11,BRAIN_10,CFG,0.33019208312425163,0.3414740308288342
TOL_11,BRAIN_10,CFG,0.41160381947130453,0.31834224843322345
TOL_11,BRAIN_10,CFG,0.30353922252758714,0.32092410563041474
TOL_11,BRAIN_10,CFG,0.29033121646705806,0.2724718994842843
TOL_11,BRAIN_10,CFG,0.3044472076196056,0.41082050716267837
TOL_11,BRAIN_10,CFG,0.3451158574678828,0.3938093794630605
TOL_11,BRAIN_10,CFG,0.3125497704560722,0.29705913056404276
TOL_11,BRAIN_10,CFG,0.35128031724871345,0.2854402371758068
TOL_11,BRAIN_10,CFG,0.36066575229839865,0.33040633073450676
TOL_11,BRAIN_10,CFG,0.4227596531677605,0.38837369079999284
TOL_11,BRAIN_10,CFG,0.21259861720274836,0.3509663260987308
TOL_11,BRAIN_10,CFG,0.26778334682088284,0.2629506585077931
TOL_11,BRAIN_10,CFG,0.29206853091843393,0.1957580818617473
TOL_11,BRAIN_10,CFG,0.3579965525636227,0.3459122452692135
TOL_11,BRAIN_10,CFG,0.2515441191328796,0.4714664368774509
TOL_11,BRAIN_10,CFG,0.3429266967832036,0.3327790361637758
TOL_11,BRAIN_10,CFG,0.3108476273881328,0.2910464830531922
TOL_11,BRAIN_10,CFG,0.3367055962812624,0.46334761184611895
TOL_11,BRAIN_10,CFG,0.29063618491538107,0.24223114448794203
TOL_11,BRAIN_10,CFG,0.2774987718258245,0.21337115944726687
TOL_11,BRAIN_10,CFG,0.3459664450779954,0.4465815940837794
TOL_11,BRAIN_10,CFG,0.5366122889882378,0.3807393254931319
TOL_11,BRAIN_10,CFG,0.2764695633349701,0.27886278725051045
TOL_11,BRAIN_10,CFG,0.26455227048205754,0.2358114660317572
TOL_11,BRAIN_10,CFG,0.3317174671096727,0.41052620949349783
TOL_11,BRAIN_10,CFG,0.4371552202890484,0.3282652778328754
TOL_11,BRAIN_10,CFG,0.3707630546389614,0.33845652270733895
TOL_11,BRAIN_10,CFG,0.42582799522114406,0.33558096813295274
TOL_11,BRAIN_10,CFG,0.3551036741922653,0.3262807076593705
TOL_11,BRAIN_10,CFG,0.33004566743241126,0.41040355267370454
TOL_11,BRAIN_10,CFG,0.3431674754095424,0.31655219135618484
TOL_11,BRAIN_10,CFG,0.3043741596228647,0.26738473727120105
TOL_11,BRAIN_10,CFG,0.36682911144985747,0.3398353831691132
TOL_11,BRAIN_10,CFG,0.21319775109786807,0.24364480282951573
TOL_11,BRAIN_10,CFG,0.23892741211929439,0.21179376189340965
TOL_11,BRAIN_10,CFG,0.352708364455591,0.3792134738264116
TOL_11,BRAIN_10,CFG,0.33181222423068324,0.22912955457930512
TOL_11,BRAIN_10,CFG,0.2876855322662128,0.3013096998905517
TOL_11,BRAIN_10,CFG,0.18468931951501907,0.2773276856167957
TOL_11,BRAIN_10,CFG,0.2785324914891382,0.3726545262502472
TOL_11,BRAIN_10,CFG,0.37661187739102203,0.3191563562221842
TOL_11,BRAIN_10,CFG,0.31353694873660415,0.21672247415272974
TOL_11,BRAIN_10,CFG,0.2959335921625301,0.32678674584862644
TOL_11,BRAIN_10,CFG,0.482973315263741,0.3743729691908797
TOL_11,BRAIN_10,CFG,0.313374316787389,0.21639680392847663
TOL_11,BRAIN_10,CFG,0.3453312939093725,0.33824652686643886
TOL_11,BRAIN_10,CFG,0.27912003189748774,0.30693289282023317
TOL_11,BRAIN_10,CFG,0.31420853262507065,0.2967149156732005
TOL_11,BRAIN_10,CFG,0.29498773063006395,0.4815509918888294
TOL_11,BRAIN_10,CFG,0.43740043932767864,0.5229900736254371
TOL_11,BRAIN_10,CFG,0.1909810419527412,0.1359679243497555
TOL_11,BRAIN_10,CFG,0.29129104803832273,0.2811330808428375
TOL_11,BRAIN_10,CFG,0.40743988584911617,0.28983215701650383
TOL_11,BRAIN_10,CFG,0.3136029978178181,0.28430943050360946
